ColorCompass Spectrum data( MFA Model)
device,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,
date,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,
time,14:12:44,14:12:48,14:12:53,14:12:58,14:13:02,14:13:06,14:13:13,14:13:17,14:13:22,
523,173.2,27249.7,470.3,13550.6,27444.0,7053.4,27840.7,13553.4,6607.1,
524,178.5,27334.2,421.2,13601.6,27523.3,7001.0,27940.4,13593.9,6625.2,
525,180.0,27449.1,383.4,13644.7,27638.3,6987.5,27973.6,13662.6,6662.6,
526,181.6,27564.1,345.7,13687.8,27753.3,6974.1,28006.9,13731.3,6700.0,
527,185.8,27611.1,309.1,13728.7,27719.3,6960.9,27999.9,13716.3,6679.3,
528,190.2,27654.7,272.7,13769.4,27677.9,6947.8,27990.8,13697.1,6655.7,
529,183.1,27801.9,240.4,13815.6,27804.6,6951.0,28103.1,13752.2,6672.4,
530,168.2,28019.6,210.9,13865.7,28045.9,6965.2,28297.9,13858.0,6716.6,
531,159.0,28224.6,187.6,13939.7,28257.4,6984.2,28475.8,13959.6,6754.4,
532,167.4,28390.0,183.6,14088.6,28376.1,7017.7,28601.0,14048.5,6772.3,
533,175.7,28555.4,179.6,14237.5,28494.8,7051.3,28726.2,14137.4,6790.2,
534,180.1,28590.1,164.7,14232.0,28537.0,7025.3,28829.0,14155.9,6821.2,
535,183.9,28609.7,148.5,14208.5,28570.3,6992.4,28929.2,14166.3,6853.7,
536,185.1,28444.9,130.6,14117.0,28462.1,6955.8,28740.1,14093.7,6826.2,
537,184.2,28132.3,111.3,13970.9,28240.5,6916.2,28319.1,13954.4,6750.7,
538,182.6,27856.8,92.0,13849.4,28029.9,6877.0,27986.3,13842.5,6682.1,
539,178.5,27713.8,72.8,13815.4,27859.1,6839.0,27967.9,13828.1,6638.4,
540,174.4,27570.8,53.6,13781.4,27688.2,6801.1,27949.4,13813.7,6594.8,
541,185.7,27284.2,61.8,13639.1,27370.4,6741.9,27631.3,13610.0,6542.6,
542,199.0,26979.7,73.5,13483.3,27034.0,6680.0,27275.6,13382.6,6489.3,
543,212.7,26590.1,81.2,13283.0,26612.0,6587.2,26839.4,13175.6,6412.5,
544,226.8,26134.6,85.9,13048.3,26123.5,6470.3,26340.8,12984.6,6317.4,
545,234.8,25634.5,82.8,12802.9,25610.1,6345.1,25817.5,12759.5,6205.1,
546,224.1,24996.5,55.7,12524.4,25019.9,6193.8,25217.9,12429.1,6039.3,
547,213.4,24358.4,28.7,12245.9,24429.7,6042.6,24618.2,12098.7,5873.6,
548,226.0,23771.3,34.5,11939.5,23778.4,5871.2,23964.0,11825.5,5716.2,
549,240.4,23188.0,42.9,11631.0,23122.6,5698.2,23305.7,11556.6,5559.5,
550,251.8,22586.6,48.2,11350.4,22571.7,5553.5,22731.7,11273.2,5428.4,
551,261.4,21974.3,51.6,11087.0,22084.7,5426.0,22208.9,10981.2,5312.8,
552,275.3,21382.4,52.3,10815.3,21556.4,5291.8,21666.0,10701.1,5189.3,
553,298.5,20834.6,47.2,10526.2,20939.9,5143.5,21080.0,10446.5,5048.9,
554,321.3,20288.3,41.7,10239.1,20326.2,4995.8,20497.2,10192.0,4908.8,
555,322.7,19817.1,16.1,10043.2,19842.0,4875.3,20062.1,9938.1,4778.4,
556,324.1,19345.9,-9.5,9847.2,19357.9,4754.8,19627.1,9684.3,4648.0,
557,319.3,18857.9,-40.9,9622.7,18887.4,4649.8,19165.4,9461.5,4541.6,
558,312.1,18363.7,-74.5,9387.7,18421.9,4550.6,18693.9,9250.3,4444.2,
559,327.0,17871.6,-67.7,9169.9,17955.6,4463.5,18233.8,9025.7,4344.9,
560,369.7,17382.2,-10.3,8973.9,17488.2,4391.6,17788.0,8784.2,4243.2,
561,416.8,16924.5,36.2,8796.7,17052.1,4323.9,17370.4,8561.0,4151.7,
562,486.9,16629.6,26.2,8715.8,16777.6,4277.3,17098.2,8431.8,4112.7,
563,556.9,16334.6,16.3,8634.9,16503.1,4230.7,16826.0,8302.6,4073.7,
564,595.8,16003.2,-6.7,8504.4,16126.9,4136.4,16521.3,8131.7,3969.8,
565,630.8,15667.1,-31.3,8367.6,15737.9,4036.0,16212.5,7955.5,3857.7,
566,737.2,15357.7,-33.2,8333.7,15451.6,4011.4,16016.2,7870.2,3820.4,
567,887.6,15064.7,-21.2,8363.4,15228.8,4033.5,15889.4,7841.0,3829.2,
568,1076.4,14774.4,-16.4,8425.2,15020.1,4075.9,15810.4,7808.8,3828.9,
569,1334.8,14488.7,-24.6,8545.3,14837.1,4155.2,15818.3,7771.3,3812.2,
570,1609.1,14199.7,-30.2,8684.5,14653.0,4236.8,15836.9,7744.3,3800.0,
571,2032.4,13879.7,-10.7,9001.4,14457.7,4340.4,15956.0,7815.3,3829.4,
572,2455.7,13559.7,8.8,9318.2,14262.4,4444.0,16075.0,7886.3,3858.9,
573,3097.8,13204.4,-6.3,9752.0,14023.6,4699.7,16377.9,8049.6,3935.3,
574,3780.1,12842.6,-27.8,10207.3,13776.9,4983.5,16714.5,8229.9,4020.3,
575,4663.8,12482.8,-26.1,10875.6,13592.2,5343.4,17247.3,8487.5,4152.0,
576,5682.6,12124.4,-8.8,11686.7,13449.2,5754.6,17911.7,8797.2,4315.0,
