ColorCompass Spectrum data( MFA Model)
device,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,
date,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,
time,17:33:54,17:34:01,17:34:04,17:34:08,17:34:11,17:34:15,17:34:19,17:34:23,17:34:26,17:34:30,17:34:34,17:34:38,17:34:44,17:34:48,17:34:52,17:34:56,17:35:01,17:35:05,17:35:27,17:35:39,
439,74.6,3427.0,6915.3,10509.4,12886.6,104.9,134.4,136.5,161.1,177.2,56.2,111.7,169.3,138.7,183.4,76.4,2983.9,6543.3,9532.2,13814.1,
440,61.9,3891.2,7850.3,11900.5,14628.5,87.8,130.8,133.7,175.6,171.6,57.7,119.2,155.9,176.1,195.3,82.7,3373.7,7385.1,10821.4,15620.2,
441,77.6,4499.5,9061.1,13726.1,16904.8,95.8,145.7,143.7,175.8,191.6,68.9,131.0,141.6,179.3,199.9,94.4,3891.1,8514.4,12444.9,17992.3,
442,109.4,5189.7,10429.0,15799.1,19485.3,118.0,171.1,161.1,167.9,226.0,85.6,145.4,126.9,163.1,200.5,109.3,4481.1,9807.3,14258.8,20686.7,
443,137.8,5894.9,11835.0,17932.2,22132.1,136.3,193.8,177.1,165.1,258.2,101.3,156.8,116.9,150.5,201.9,122.5,5085.9,11136.7,16134.9,23450.2,
444,138.5,6723.6,13555.5,20559.5,25322.8,123.3,194.0,182.6,204.7,271.7,108.4,143.3,146.1,169.1,210.6,121.8,5811.3,12765.9,18522.9,26781.8,
445,139.2,7552.3,15275.9,23186.8,28513.5,110.2,194.1,188.0,244.2,285.2,115.5,129.9,175.4,187.7,219.3,121.2,6536.7,14395.1,20910.8,30113.5,
446,130.3,8331.0,16891.2,25601.2,31424.0,111.9,187.2,185.3,242.9,283.7,124.0,127.6,192.2,193.4,224.7,125.4,7203.2,15927.8,23126.9,33189.6,
447,114.4,9074.2,18431.7,27864.1,34134.9,124.2,175.1,176.9,212.3,271.5,133.5,133.3,200.3,190.0,227.8,133.1,7827.8,17391.9,25220.7,36083.8,
448,101.4,9804.0,19939.5,30086.5,36800.8,136.2,163.9,170.6,186.2,260.3,142.4,138.8,207.5,187.0,231.3,141.4,8442.3,18829.7,27274.3,38926.4,
